00-avengers-company_business,04-iGMM-company_business
"['industries', 'electrical products']","['energy', 'oil and gas']"
"['industries', 'rent / lease services']","['consumer cyclical', 'gambling']"
"['industries', 'logistics']","['technology', 'semiconductors', 'electronics']"
"['industries', 'shipping']","['healthcare', 'biotechnology']"
"['consumer cyclical', 'internet or mobile app based business', 'transportation', 'travel and transport', 'consumer services']","['consumer cyclical', 'rubber products', 'tyres']"
"['technology', 'semiconductors']","['consumer cyclical', 'home improvement', 'construction materials']"
real estate,"['consumer defensive', 'food products', 'fmcg']"
"['real estate', 'logistics', 'investments', 'property investments']","['financial services', 'banking services']"
"['energy', 'oil and gas']","['industries', 'aerospace and defense', 'electronics']"
"['technology', 'communications equipment']","['technology', 'communications equipment']"
"['industries', 'aerospace and defense', 'electronics']","['consumer cyclical', 'consumer services', 'entertainment']"
"['financial services', 'banking services']","['technology', 'software and it']"
"['consumer defensive', 'food products', 'fmcg', 'package foods']","['basic materials', 'chemicals']"
"['consumer cyclical', 'home improvement', 'construction materials', 'retail']","['utilities', 'electric utilities', 'renewable energy']"
"['consumer cyclical', 'rubber products', 'tyres', 'automobile parts', 'capital goods', 'automobile']","['consumer cyclical', 'restaurants', 'consumer services']"
"['healthcare', 'biotechnology']","['industries', 'railway', 'transportation']"
"['technology', 'semiconductors', 'electronics']","['real estate', 'healthcare', 'property investments']"
"['consumer cyclical', 'gambling']","['financial services', 'banking services']"
"['consumer cyclical', 'consumer services', 'entertainment', 'leisure']",['real estate']
"['consumer cyclical', 'home furnishing']","['consumer cyclical', 'home furnishing']"
real estate,"['basic materials', 'construction materials', 'wood products']"
"['financial services', 'banking services']","['consumer defensive', 'retail']"
"['real estate', 'healthcare', 'property investments']","['technology', 'software and it']"
"['industries', 'railway', 'transportation']","['technology', 'software and it']"
"['consumer cyclical', 'restaurants', 'consumer services', 'entertainment']","['internet or mobile app based business', 'software and it', 'marketing services']"
"['utilities', 'electric utilities', 'renewable energy']","['technology', 'software and it', 'outsourcing and staffing']"
"['basic materials', 'chemicals']","['technology', 'semiconductors']"
"['technology', 'software and it']","['technology', 'software and it']"
"['basic materials', 'construction materials', 'wood products']","['technology', 'software and it']"
"['industries', 'fmcg', 'consumer non durables', 'electrical products']","['industries', 'fmcg', 'consumer non durables']"
"['technology', 'software and it']",['asset management']
"['technology', 'software and it']","['industries', 'utilities', 'construction']"
"['technology', 'semiconductors']","['basic materials', 'chemicals', 'agriculture related']"
"['technology', 'software and it', 'outsourcing and staffing']","['healthcare', 'biotechnology']"
"['internet or mobile app based business', 'software and it', 'marketing services', 'ecommerce', 'trading']","['technology', 'software and it', 'security systems and solutions']"
"['technology', 'software and it']","['healthcare', 'healthcare products', 'pharmaceutical']"
"['technology', 'software and it']","['healthcare', 'medical equipment', 'healthcare products']"
"['consumer defensive', 'retail']","['communication services', 'telecom', 'internet providers']"
asset management,"['basic materials', 'chemicals']"
"['utilities', 'power generation', 'electricity generation', 'hydro-electric power', 'wind power', 'solar power', 'renewable energy']","['utilities', 'power generation', 'electricity generation']"
"['basic materials', 'chemicals']","['industries', 'logistics']"
"['communication services', 'telecom', 'internet providers', 'mobile services', 'fixed line service', 'television services']","['technology', 'software and it infrastructure']"
"['healthcare', 'medical equipment', 'healthcare products']","['healthcare', 'health care diagnostics']"
"['healthcare', 'healthcare products', 'pharmaceutical']","['industries', 'construction', 'infrastructure']"
"['technology', 'software and it', 'security systems and solutions']","['energy', 'oil and gas', 'utilities']"
"['healthcare', 'biotechnology']","['consumer cyclical', 'gambling', 'leisure']"
"['basic materials', 'chemicals', 'agriculture related']","['technology', 'solar power devices']"
"['industries', 'utilities', 'construction', 'engineering services']","['consumer cyclical', 'footwear']"
"['industries', 'logistics']","['communication services', 'media', 'advertising']"
"['healthcare', 'medical equipment', 'healthcare products']","['healthcare', 'medical equipment', 'healthcare products']"
"['communication services', 'media', 'advertising', 'consumer services', 'television services', 'telecom']","['basic materials', 'paper and pulp']"
"['consumer cyclical', 'footwear']","['healthcare', 'healthcare products', 'biotechnology']"
"['technology', 'solar power devices']","['technology', 'technology hardware and instruments']"
"['consumer cyclical', 'gambling', 'leisure', 'entertainment']","['consumer cyclical', 'textile', 'leather products']"
"['energy', 'oil and gas', 'utilities', 'gas utilities', 'infrastructure']","['basic materials', 'chemicals']"
"['industries', 'construction', 'infrastructure']","['consumer cyclical', 'automobile', 'automobile parts']"
"['healthcare', 'health care diagnostics']","['basic materials', 'construction materials', 'mining']"
"['technology', 'software and it infrastructure']","['energy', 'oil and gas', 'oil and gas equipment and services']"
"['basic materials', 'paper and pulp']","['technology', 'electronics', 'consumer electronics']"
"['financial services', 'banking services']","['financial services', 'banking services']"
"['technology', 'electronics', 'consumer electronics']",['financial services']
"['energy', 'oil and gas', 'oil and gas equipment and services', 'oil refining']","['energy', 'coal mining', 'mining']"
"['basic materials', 'construction materials', 'mining', 'metals']","['retail', 'ecommerce', 'internet or mobile app based business']"
"['consumer cyclical', 'automobile', 'automobile parts']","['utilities', 'electric utilities', 'electricity generation']"
"['basic materials', 'chemicals']","['consumer cyclical', 'packaging', 'packaging materials']"
"['consumer cyclical', 'textile', 'leather products', 'internet or mobile app based business']","['financial services', 'stock markets, trading, capital markets']"
"['technology', 'technology hardware and instruments']","['communication services', 'entertainment', 'technology']"
"['healthcare', 'healthcare products', 'biotechnology', 'biopharmaceutical']","['financial services', 'insurance']"
financial services,"['consumer defensive', 'retail', 'super markets']"
"['consumer cyclical', 'capital goods', 'sports goods', 'entertainment', 'leisure']","['consumer cyclical', 'capital goods', 'sports goods']"
"['consumer defensive', 'retail', 'super markets']","['consumer cyclical', 'apparels and accessories', 'retail']"
"['financial services', 'insurance']","['consumer cyclical', 'automobile', 'automobile parts']"
"['communication services', 'entertainment', 'technology', 'internet or mobile app based business']",[]
"['financial services', 'stock markets, trading, capital markets']","['healthcare', 'biotechnology']"
"['consumer cyclical', 'packaging', 'packaging materials', 'glass products']","['basic materials', 'mining']"
"['utilities', 'electric utilities', 'electricity generation', 'power generation', 'coal mining', 'mining', 'natural gas generation']","['financial services', 'asset management']"
"['retail', 'ecommerce', 'internet or mobile app based business']","['industries', 'tools and equipment', 'security systems and solutions']"
"['energy', 'coal mining', 'mining']","['financial services', 'insurance']"
"['consumer cyclical', 'apparels and accessories', 'retail', 'sports goods', 'leisure']","['healthcare', 'healthcare products', 'pharmaceutical']"
real estate,['real estate']
"['healthcare', 'healthcare products', 'pharmaceutical']","['communication services', 'media', 'advertising']"
"['industries', 'tools and equipment', 'security systems and solutions', 'engineering products']","['industries', 'industry machinery']"
"['financial services', 'insurance']","['healthcare', 'pharmaceutical']"
"['financial services', 'asset management']","['consumer defensive', 'healthcare products', 'marketing services']"
"['basic materials', 'mining']","['consumer defensive', 'food and beverage', 'beverages']"
"['healthcare', 'biotechnology']","['energy', 'oil and gas']"
,"['industries', 'shipping']"
"['consumer cyclical', 'automobile', 'automobile parts']","['industries', 'logistics']"
"['communication services', 'media', 'advertising', 'television services', 'broadcasting']","['communication services', 'internet or mobile app based business']"
"['software and it infrastructure', 'technology']","['software and it infrastructure', 'technology']"
"['communication services', 'internet or mobile app based business']","['healthcare', 'machinery manufacturing', 'manufacturing']"
"['industries', 'logistics']","['financial services', 'asset management']"
"['industries', 'shipping']","['basic materials', 'pharmaceutical', 'healthcare products']"
"['energy', 'oil and gas']","['utilities', 'electric utilities', 'electricity generation']"
"['consumer defensive', 'food and beverage', 'beverages', 'food products', 'fmcg', 'package foods']","['technology', 'software and it']"
"['consumer defensive', 'healthcare products', 'marketing services', 'fmcg']","['financial services', 'infrastructure', 'asset management']"
"['healthcare', 'pharmaceutical']","['financial services', 'stock markets, trading, capital markets']"
"['industries', 'industry machinery']","['industries', 'machinery manufacturing', 'metal fabrication products']"
"['healthcare', 'machinery manufacturing', 'manufacturing', 'medical equipment']","['brokerage services', 'financial services', 'analytics']"
"['financial services', 'banking services']","['financial services', 'banking services']"
"['brokerage services', 'financial services', 'analytics', 'commodities trading', 'trading']","['basic materials', 'iron and steel']"
"['industries', 'machinery manufacturing', 'metal fabrication products', 'refrigerators', 'home appliances', 'industry machinery', 'electronics', 'kitchen appliances', 'transportation', 'conglomerate']",['real estate']
"['financial services', 'stock markets, trading, capital markets']","['consumer defensive', 'personal care products', 'fmcg']"
"['financial services', 'infrastructure', 'asset management']","['industries', 'heavy machinery']"
"['technology', 'software and it']","['technology', 'electronics', 'semiconductors']"
"['utilities', 'electric utilities', 'electricity generation', 'power generation', 'renewable energy']","['basic materials', 'mining', 'metals']"
"['basic materials', 'pharmaceutical', 'healthcare products', 'chemicals']","['technology', 'technology hardware and instruments']"
"['financial services', 'asset management']","['basic materials', 'metal fabrication products', 'engineering products']"
"['basic materials', 'iron and steel']","['industries', 'logistics']"
"['communication services', 'broadcasting']","['communication services', 'broadcasting']"
"['industries', 'logistics']","['basic materials', 'chemicals']"
"['basic materials', 'metal fabrication products', 'engineering products', 'aluminum', 'automobile parts', 'aerospace products', 'packaging materials']","['healthcare', 'healthcare service', 'technology']"
"['technology', 'technology hardware and instruments']","['industries', 'airports operating', 'transportation']"
"['basic materials', 'mining', 'metals', 'silver mining']","['healthcare', 'pharmaceutical', 'healthcare products']"
"['technology', 'electronics', 'semiconductors']","['industries', 'industry machinery']"
"['industries', 'heavy machinery']","['energy', 'oil and gas']"
"['consumer defensive', 'personal care products', 'fmcg']","['basic materials', 'metals', 'precious metals']"
real estate,"['consumer cyclical', 'automobile', 'automobile parts']"
"['basic materials', 'chemicals']","['basic materials', 'mining']"
"['healthcare', 'biotechnology']","['healthcare', 'biotechnology']"
"['basic materials', 'mining']","['healthcare', 'medical equipment']"
"['consumer cyclical', 'automobile', 'automobile parts']","['financial services', 'banking services']"
"['basic materials', 'metals', 'precious metals', 'gold mining', 'mining']","['railway', 'railway vehicles and railway components', 'infrastructure']"
"['energy', 'oil and gas']","['healthcare', 'pharmaceutical', 'healthcare products']"
"['industries', 'industry machinery']","['real estate', 'hotels', 'consumer services']"
"['healthcare', 'pharmaceutical', 'healthcare products', 'biotechnology', 'technology']","['industries', 'batteries', 'electrical products']"
"['industries', 'airports operating', 'transportation']",['real estate']
"['healthcare', 'healthcare service', 'technology', 'healthcare technology and information']","['technology', 'solar power devices']"
"['healthcare', 'medical equipment']","['technology', 'software and it']"
"['industries', 'aerospace and defense', 'electronics', 'defense products', 'aircraft parts']","['industries', 'aerospace and defense', 'electronics']"
"['technology', 'software and it']","['industries', 'construction']"
"['technology', 'solar power devices']","['consumer cyclical', 'tyres', 'rubber products']"
real estate,"['real estate', 'consumer services', 'property investments']"
"['industries', 'batteries', 'electrical products']","['financial services', 'asset management']"
"['real estate', 'hotels', 'consumer services', 'property investments']","['consumer cyclical', 'automobile dealers']"
"['healthcare', 'pharmaceutical', 'healthcare products']","['technology', 'electronics', 'electrical products']"
"['railway', 'railway vehicles and railway components', 'infrastructure', 'utilities']","['utilities', 'renewable energy', 'electricity generation']"
"['financial services', 'banking services']",['real estate']
"['industries', 'construction']","['healthcare', 'healthcare products', 'biotechnology']"
"['energy', 'oil and gas']","['energy', 'oil and gas']"
"['healthcare', 'healthcare products', 'biotechnology', 'biopharmaceutical']","['technology', 'software and it', 'software products']"
real estate,[]
"['utilities', 'renewable energy', 'electricity generation', 'power generation']","['healthcare', 'healthcare products', 'pharmaceutical']"
"['technology', 'electronics', 'electrical products', 'capital goods']","['basic materials', 'chemicals']"
"['consumer cyclical', 'automobile dealers']","['real estate', 'property investments']"
"['financial services', 'asset management']","['consumer cyclical', 'retail']"
"['real estate', 'consumer services', 'property investments']","['consumer cyclical', 'restaurants', 'food service']"
"['consumer cyclical', 'tyres', 'rubber products', 'automobile', 'automobile parts']","['industries', 'heavy machinery']"
"['technology', 'software and it', 'software products']","['communication services', 'broadcasting']"
"['technology', 'computers hardware', 'gaming', 'technology hardware and instruments', 'video games / mobile games / tech games / casino games']","['technology', 'computers hardware', 'gaming']"
"['communication services', 'broadcasting']","['consumer defensive', 'agriculture products', 'agriculture related']"
"['industries', 'heavy machinery']","['consumer cyclical', 'restaurants']"
"['consumer cyclical', 'restaurants', 'food service', 'food products']","['healthcare', 'biotechnology']"
"['consumer cyclical', 'retail']","['industries', 'mining', 'coal mining']"
"['real estate', 'property investments']","['utilities', 'electric utilities', 'renewable energy']"
"['basic materials', 'chemicals']","['financial services', 'insurance']"
"['healthcare', 'healthcare products', 'pharmaceutical', 'biopharmaceutical']","['basic materials', 'chemicals', 'rubber products']"
,"['energy', 'oil and gas']"
"['consumer defensive', 'agriculture products', 'agriculture related', 'farming / seeds / milling']","['basic materials', 'paper and pulp']"
"['basic materials', 'cement', 'construction materials']","['basic materials', 'cement', 'construction materials']"
"['basic materials', 'paper and pulp']","['basic materials', 'chemicals']"
"['energy', 'oil and gas']",['real estate']
"['basic materials', 'chemicals', 'rubber products']","['real estate', 'property investments']"
"['financial services', 'insurance']","['industries', 'cables and wires', 'electrical products']"
"['utilities', 'electric utilities', 'renewable energy', 'electricity generation', 'power generation']","['healthcare', 'pharmaceutical', 'healthcare products']"
"['industries', 'mining', 'coal mining', 'coke coal']","['industries', 'metal fabrication products', 'capital goods']"
"['healthcare', 'biotechnology']","['technology', 'software and it']"
"['consumer cyclical', 'restaurants']","['financial services', 'software and it']"
"['basic materials', 'chemicals']","['technology', 'software and it']"
"['real estate', 'property investments']","['real estate', 'property investments']"
"['technology', 'software and it']",['real estate']
"['financial services', 'software and it']","['healthcare', 'medical equipment']"
"['technology', 'software and it']","['consumer defensive', 'fmcg', 'package foods']"
"['industries', 'metal fabrication products', 'capital goods', 'electrical products']","['technology', 'electronics', 'electrical products']"
"['healthcare', 'pharmaceutical', 'healthcare products']","['consumer cyclical', 'construction materials', 'construction']"
"['real estate', 'property investments']","['basic materials', 'agriculture related']"
"['industries', 'cables and wires', 'electrical products']","['healthcare', 'medical equipment']"
real estate,"['industries', 'industry machinery']"
real estate,"['healthcare', 'biotechnology', 'biopharmaceutical']"
"['healthcare', 'healthcare service', 'hospitals']","['healthcare', 'healthcare service', 'hospitals']"
"['healthcare', 'biotechnology', 'biopharmaceutical', 'healthcare products', 'pharmaceutical']","['utilities', 'energy', 'electric utilities']"
"['industries', 'industry machinery']","['facility support services', 'real estate', 'rent / lease services']"
"['healthcare', 'medical equipment']","['consumer cyclical', 'retail', 'apparels and accessories']"
"['basic materials', 'agriculture related']","['industries', 'technology', 'machinery manufacturing']"
"['consumer cyclical', 'construction materials', 'construction']","['industries', 'infrastructure']"
"['technology', 'electronics', 'electrical products', 'capital goods', 'engineering products']","['technology', 'semiconductors']"
"['consumer defensive', 'fmcg', 'package foods', 'food products']","['energy', 'oil and gas']"
"['healthcare', 'medical equipment']","['consumer cyclical', 'automobile', 'automobile parts']"
"['utilities', 'energy', 'electric utilities', 'power generation']","['healthcare', 'pharmaceutical', 'healthcare products']"
"['consumer defensive', 'package foods']","['consumer defensive', 'package foods']"
"['healthcare', 'pharmaceutical', 'healthcare products']",['software and it']
"['consumer cyclical', 'automobile', 'automobile parts']","['technology', 'software and it', 'television services']"
"['energy', 'oil and gas']","['basic materials', 'chemicals']"
"['technology', 'semiconductors']","['engineering products', 'industry machinery', 'machinery manufacturing']"
"['industries', 'infrastructure']","['basic materials', 'chemicals']"
"['industries', 'technology', 'machinery manufacturing', 'manufacturing', 'industry machinery']","['communication services', 'consumer services', 'internet or mobile app based business']"
"['consumer cyclical', 'retail', 'apparels and accessories']","['industries', 'fasteners', 'tools and equipment']"
"['facility support services', 'real estate', 'rent / lease services', 'business services']","['energy', 'oil and gas']"
software and it,"['consumer defensive', 'consumer durables', 'fmcg']"
"['consumer cyclical', 'construction materials', 'consumer non durables', 'recreational vehicles']","['consumer cyclical', 'construction materials', 'consumer non durables']"
"['consumer defensive', 'consumer durables', 'fmcg', 'package foods', 'food products']","['basic materials', 'chemicals', 'agriculture related']"
"['energy', 'oil and gas']","['industries', 'home appliances', 'home appliances']"
"['industries', 'fasteners', 'tools and equipment']","['industries', 'industry machinery']"
"['communication services', 'consumer services', 'internet or mobile app based business', 'artificial intelligence']","['financial services', 'banking services']"
"['basic materials', 'chemicals']","['financial services', 'asset management']"
"['engineering products', 'industry machinery', 'machinery manufacturing']","['healthcare', 'healthcare technology and information']"
"['basic materials', 'chemicals']","['basic materials', 'chemicals']"
"['technology', 'software and it', 'television services']","['healthcare', 'insurance']"
"['basic materials', 'chemicals', 'agriculture related']","['energy', 'chemicals', 'oil and gas']"
"['consumer cyclical', 'automobile', 'automobile parts', 'tyres', 'consumer durables']","['consumer cyclical', 'automobile', 'automobile parts']"
"['energy', 'chemicals', 'oil and gas', 'utilities', 'gas utilities', 'natural gas generation']","['industries', 'marketing services', 'office equipment']"
"['healthcare', 'insurance']",['asset management']
"['basic materials', 'chemicals']","['real estate', 'property investments', 'commercial properties']"
"['healthcare', 'healthcare technology and information']","['utilities', 'electric utilities', 'renewable energy']"
"['financial services', 'asset management']","['communication services', 'entertainment']"
"['financial services', 'banking services']","['consumer cyclical', 'consumer durables', 'travel and transport']"
"['industries', 'industry machinery']",['healthcare']
"['industries', 'home appliances', 'home appliances', 'building automation', 'building products and equipment']","['industries', 'transportation', 'freight transport']"
"['industries', 'marketing services', 'office equipment']",['financial services']
"['basic materials', 'agriculture related']","['basic materials', 'agriculture related']"
financial services,"['software and it', 'technology', 'artificial intelligence']"
"['industries', 'transportation', 'freight transport', 'logistics']","['industries', 'airlines', 'aviation']"
healthcare,"['industries', 'automobile', 'capital goods']"
"['consumer cyclical', 'consumer durables', 'travel and transport']","['alcoholic beverages', 'beverages', 'wine']"
"['communication services', 'entertainment']","['utilities', 'electric utilities']"
"['utilities', 'electric utilities', 'renewable energy']","['technology', 'semiconductors']"
"['real estate', 'property investments', 'commercial properties']","['industries', 'transportation', 'airports operating']"
asset management,"['basic materials', 'mining']"
"['software and it', 'technology', 'artificial intelligence', 'internet of things']","['industries', 'rent / lease services', 'cars']"
"['healthcare', 'healthcare products', 'biotechnology', 'biopharmaceutical']","['healthcare', 'healthcare products', 'biotechnology']"
"['industries', 'rent / lease services', 'cars', 'automobile dealers', 'freight transport']","['technology', 'software and it', 'cloud services']"
"['basic materials', 'mining']","['technology', 'software and it', 'software products']"
"['industries', 'transportation', 'airports operating']","['healthcare', 'biotechnology', 'technology']"
"['technology', 'semiconductors']","['technology', 'electronics', 'consumer electronics']"
"['utilities', 'electric utilities']","['utilities', 'electric utilities', 'renewable energy']"
"['alcoholic beverages', 'beverages', 'wine']",['financial services']
"['industries', 'automobile', 'capital goods']",['financial services']
"['industries', 'airlines', 'aviation', 'freight transport']","['basic materials', 'coke coal']"
"['technology', 'software and it', 'cloud services']",['financial services']
real estate,['real estate']
financial services,"['financial services', 'banking services']"
"['basic materials', 'coke coal']","['technology', 'software and it infrastructure']"
financial services,"['basic materials', 'mining']"
financial services,"['technology', 'software and it', 'software products']"
"['utilities', 'electric utilities', 'renewable energy']","['consumer cyclical', 'apparels and accessories']"
"['technology', 'electronics', 'consumer electronics']","['consumer cyclical', 'retail']"
"['healthcare', 'biotechnology', 'technology', 'healthcare products']","['consumer defensive', 'retail', 'fmcg']"
"['technology', 'software and it', 'software products', 'computers hardware']","['utilities', 'electric utilities', 'electricity generation']"
"['financial services', 'banking services']","['real estate', 'property investments']"
"['healthcare', 'pharmaceutical']","['healthcare', 'pharmaceutical']"
"['real estate', 'property investments']","['healthcare', 'medical equipment']"
"['utilities', 'electric utilities', 'electricity generation', 'power generation']","['healthcare', 'pharmaceutical', 'healthcare products']"
"['consumer defensive', 'retail', 'fmcg']","['communication services', 'publishing']"
"['consumer cyclical', 'retail']","['conglomerate', 'chemicals', 'petrochemicals']"
"['consumer cyclical', 'apparels and accessories']","['financial services', 'banking services']"
"['technology', 'software and it', 'software products', 'software and it infrastructure']","['financial services', 'asset management']"
"['basic materials', 'mining']","['consumer cyclical', 'lighting products', 'electrical products']"
"['technology', 'software and it infrastructure']","['consumer defensive', 'meat / poultry / fish / chicken', 'farming / seeds / milling']"
"['healthcare', 'medical equipment']","['industries', 'trading', 'commodities trading']"
"['technology', 'communications equipment']","['technology', 'communications equipment']"
"['industries', 'trading', 'commodities trading', 'real estate']","['healthcare', 'pharmaceutical']"
"['consumer defensive', 'meat / poultry / fish / chicken', 'farming / seeds / milling']","['industries', 'industry machinery']"
"['consumer cyclical', 'lighting products', 'electrical products', 'home furnishing']","['utilities', 'gas utilities']"
"['financial services', 'asset management']",['asset management']
"['financial services', 'banking services']","['technology', 'communications equipment']"
"['conglomerate', 'chemicals', 'petrochemicals', 'aerospace and defense', 'construction', 'financial services', 'retail', 'resorts', 'property investments', 'real estate']","['technology', 'software and it']"
"['communication services', 'publishing']","['communication services', 'internet or mobile app based business']"
"['healthcare', 'pharmaceutical', 'healthcare products', 'biotechnology']","['industries', 'transportation', 'shipping']"
"['healthcare', 'pharmaceutical']",['real estate']
"['consumer defensive', 'food products', 'fmcg', 'package foods']","['consumer defensive', 'food products', 'fmcg']"
real estate,"['energy', 'metal fabrication products', 'oil and gas equipment']"
"['industries', 'transportation', 'shipping']","['consumer cyclical', 'sports goods', 'apparels and accessories']"
"['communication services', 'internet or mobile app based business']","['real estate', 'property investments']"
"['technology', 'software and it']","['communication services', 'broadcasting']"
"['technology', 'communications equipment']","['technology', 'electronics', 'home appliances']"
asset management,"['healthcare', 'medical equipment']"
"['utilities', 'gas utilities']","['basic materials', 'iron and steel']"
"['industries', 'industry machinery']","['financial services', 'insurance']"
"['energy', 'metal fabrication products', 'oil and gas equipment', 'engineering products', 'oil and gas']","['financial services', 'banking services']"
"['technology', 'software and it']","['technology', 'software and it']"
"['financial services', 'banking services']","['healthcare', 'pharmaceutical', 'cannabis']"
"['financial services', 'insurance']","['investments', 'asset management']"
"['basic materials', 'iron and steel']",['healthcare']
"['healthcare', 'medical equipment']","['industries', 'technology', 'machinery manufacturing']"
"['technology', 'electronics', 'home appliances', 'consumer electronics']","['real estate', 'consumer services', 'property investments']"
"['communication services', 'broadcasting']","['industries', 'technology', 'professional services']"
"['real estate', 'property investments']","['healthcare', 'biotechnology']"
"['consumer cyclical', 'sports goods', 'apparels and accessories', 'leisure']","['basic materials', 'mining']"
"['healthcare', 'pharmaceutical', 'cannabis']","['healthcare', 'pharmaceutical', 'healthcare products']"
"['industries', 'capital goods', 'conglomerate']","['industries', 'capital goods', 'conglomerate']"
"['healthcare', 'pharmaceutical', 'healthcare products']","['healthcare', 'medical equipment']"
"['basic materials', 'mining']","['healthcare', 'healthcare technology and information']"
"['healthcare', 'biotechnology']","['industries', 'security systems and solutions', 'electronics']"
"['industries', 'technology', 'professional services', 'airports operating']","['healthcare', 'biotechnology']"
"['real estate', 'consumer services', 'property investments', 'commercial properties']","['healthcare', 'biotechnology', 'biopharmaceutical']"
"['industries', 'technology', 'machinery manufacturing', 'manufacturing', 'industry machinery', 'engineering products']","['healthcare', 'medical equipment']"
healthcare,"['industries', 'rent / lease services', 'technology']"
"['investments', 'asset management']","['mining', 'iron and steel']"
"['healthcare', 'medical equipment']","['communication services', 'technology', 'internet providers']"
"['communication services', 'technology', 'internet providers', 'software and it infrastructure', 'telecom']","['industries', 'logistics', 'business services']"
"['mining', 'iron and steel']","['basic materials', 'mining']"
"['energy', 'coal mining']","['technology', 'electronics', 'capital goods']"
"['industries', 'rent / lease services', 'technology', 'financial services']","['healthcare', 'hospitals', 'healthcare products']"
"['healthcare', 'medical equipment']","['consumer cyclical', 'consumer goods', 'textile']"
"['healthcare', 'biotechnology', 'biopharmaceutical']","['industries', 'industry machinery']"
"['healthcare', 'biotechnology']","['energy', 'coal mining', 'mining']"
"['industries', 'security systems and solutions', 'electronics']","['consumer cyclical', 'fmcg', 'food products']"
"['healthcare', 'healthcare technology and information']","['basic materials', 'mining']"
"['industries', 'logistics', 'business services']","['real estate', 'technology']"
"['real estate', 'technology']","['utilities', 'electric utilities', 'renewable energy']"
"['basic materials', 'mining']","['consumer defensive', 'fmcg', 'package foods']"
"['consumer cyclical', 'fmcg', 'food products', 'consumer non durables', 'consumer services']",['real estate']
"['energy', 'coal mining', 'mining']","['healthcare', 'pharmaceutical', 'healthcare products']"
"['industries', 'industry machinery']","['consumer cyclical', 'automobile', 'automobile parts']"
"['consumer cyclical', 'consumer goods', 'textile']","['technology', 'software and it']"
"['healthcare', 'hospitals', 'healthcare products', 'healthcare service', 'insurance']",['real estate']
"['technology', 'electronics', 'capital goods']","['utilities', 'electric utilities', 'renewable energy']"
"['basic materials', 'mining']","['communication services', 'gaming', 'video games / mobile games / tech games / casino games']"
"['utilities', 'electric utilities', 'renewable energy']","['industries', 'retail', 'conglomerate']"
"['industries', 'retail', 'conglomerate']","['financial services', 'asset management', 'investments']"
"['communication services', 'gaming', 'video games / mobile games / tech games / casino games', 'technology']",['real estate']
"['utilities', 'electric utilities', 'renewable energy']","['industries', 'industry machinery']"
real estate,"['communication services', 'entertainment', 'sports related']"
"['technology', 'software and it']","['healthcare', 'pharmaceutical', 'biopharmaceutical']"
"['consumer cyclical', 'automobile', 'automobile parts']","['consumer cyclical', 'air conditioners', 'home appliances']"
"['healthcare', 'pharmaceutical', 'healthcare products']","['industries', 'infrastructure']"
real estate,"['consumer defensive', 'fmcg', 'package foods']"
"['consumer defensive', 'fmcg', 'package foods', 'food products']","['financial services', 'banking services']"
"['financial services', 'asset management', 'investments']","['healthcare', 'biotechnology']"
"['healthcare', 'biotechnology']","['industries', 'airlines', 'aviation']"
"['financial services', 'banking services']","['oil and gas', 'energy', 'conglomerate']"
"['consumer defensive', 'fmcg', 'package foods', 'food products']","['basic materials', 'fertilizers', 'chemicals']"
"['industries', 'infrastructure']","['cosmetics', 'beauty and personal care', 'personal care products']"
"['consumer cyclical', 'air conditioners', 'home appliances', 'heating equipment', 'electronics', 'electrical products', 'home furnishing']","['artificial intelligence', 'technology', 'software and it']"
"['healthcare', 'pharmaceutical', 'biopharmaceutical', 'biotechnology', 'technology', 'healthcare products']","['healthcare', 'pharmaceutical']"
"['communication services', 'entertainment', 'sports related']","['basic materials', 'aluminum', 'metal products manufacturing']"
"['industries', 'industry machinery']","['industries', 'infrastructure']"
real estate,"['consumer defensive', 'package foods']"
"['industries', 'airlines', 'aviation']","['technology', 'semiconductors']"
"['technology', 'semiconductors']","['consumer cyclical', 'automobile', 'automobile parts']"
"['consumer defensive', 'package foods']","['communication services', 'internet or mobile app based business']"
"['industries', 'infrastructure']","['basic materials', 'chemicals']"
"['basic materials', 'aluminum', 'metal products manufacturing']","['technology', 'software and it']"
"['healthcare', 'pharmaceutical']","['healthcare', 'biotechnology']"
"['artificial intelligence', 'technology', 'software and it']","['consumer defensive', 'baby care products', 'fmcg']"
"['cosmetics', 'beauty and personal care', 'personal care products']","['consumer cyclical', 'consumer durables', 'automobile dealers']"
"['basic materials', 'fertilizers', 'chemicals', 'agriculture related']","['basic materials', 'chemicals']"
"['oil and gas', 'energy', 'conglomerate']","['basic materials', 'chemicals']"
"['consumer cyclical', 'automobile', 'automobile parts']",['financial services']
financial services,"['financial services', 'banking services']"
"['basic materials', 'chemicals']","['consumer defensive', 'fmcg', 'food products']"
"['basic materials', 'chemicals']","['communication services', 'entertainment']"
"['consumer cyclical', 'consumer durables', 'automobile dealers']","['basic materials', 'iron and steel', 'metals']"
"['consumer defensive', 'baby care products', 'fmcg', 'personal care products']","['technology', 'electronics', 'capital goods']"
"['healthcare', 'biotechnology']","['technology', 'consumer electronics']"
"['technology', 'software and it']","['basic materials', 'chemicals']"
"['basic materials', 'chemicals']",[]
"['communication services', 'internet or mobile app based business']","['technology', 'software and it']"
"['financial services', 'banking services']","['healthcare', 'animal healthcare companies', 'healthcare technology and information']"
