02-GioPonSpiz-industry,03-gren-industry,04-iGMM-industry,05-MalPatSaj-industry,06-MarScoToc-industry,10-DeBiGa-industry,02-GioPonSpiz-sector,03-gren-sector,04-iGMM-sector,05-MalPatSaj-sector,06-MarScoToc-sector,07-silvestri-sector,10-DeBiGa-sector
internet retail,internet retail,solar,internet retail,softwareinfrastructure,utilities—regulated gas,consumer discretionary,consumer discretionary,technology,consumer discretionary,technology,consumer discretionary,utilities
insurance brokers,insurance brokers,real estate—development,insurance brokers,asset management,tools & accessories,financials,financials,real estate,financials,financials,financials,industrials
biotechnology,biotechnology,specialty chemicals,biotechnology,coking coal,railroads,healthcare,healthcare,basic materials,healthcare,basic materials,healthcare,industrials
reit—residential,reit—residential,utilities—diversified,reit—residential,engineering & construction,banks,real estate,real estate,utilities,real estate,industrials,real estate,financials
telecom services,telecom services,thermal coal,telecom services,shell companies,marine shipping,communication services,communication services,energy,communication services,financials,communication services,industrials
asset management,asset management,utilities—regulated electric,asset management,asset management,utilities—diversified,financials,financials,utilities,financials,financials,financials,utilities
oil & gas equipment & services,oil & gas equipment & services,medical instruments & supplies,oil & gas equipment & services,reitdiversified,resorts & casinos,energy,energy,healthcare,energy,real estate,energy,consumer discretionary
farm products,farm products,residential construction,farm products,travel services,farm products,consumer staples,consumer staples,consumer discretionary,consumer staples,consumer discretionary,consumer staples,consumer staples
credit services,credit services,specialty chemicals,credit services,reitresidential,telecom services,financials,financials,basic materials,financials,real estate,financials,communication services
integrated freight & logistics,integrated freight & logistics,rental & leasing services,integrated freight & logistics,asset management,utilities—diversified,industrials,industrials,industrials,industrials,financials,industrials,utilities
specialty industrial machinery,specialty industrial machinery,banks,specialty industrial machinery,medical care facilities,information technology services,industrials,industrials,financials,industrials,healthcare,industrials,technology
railroads,railroads,banks,railroads,medical instruments & supplies,drug manufacturers—general,industrials,industrials,financials,industrials,healthcare,industrials,healthcare
real estate—development,real estate—development,electrical equipment & parts,real estate—development,asset management,scientific & technical instruments,real estate,real estate,industrials,real estate,financials,real estate,technology
asset management,asset management,software—infrastructure,asset management,asset management,packaging & containers,financials,financials,technology,financials,financials,financials,consumer discretionary
banks,banks,diagnostics & research,banks,asset management,utilities—regulated electric,financials,financials,healthcare,financials,financials,financials,utilities
oil & gas integrated,oil & gas integrated,insurance—diversified,oil & gas integrated,specialty industrial machinery,reit—specialty,energy,energy,financials,energy,industrials,energy,real estate
grocery stores,grocery stores,utilities—diversified,grocery stores,residential construction,financial data & stock exchanges,consumer staples,consumer staples,utilities,consumer staples,consumer discretionary,consumer staples,financials
real estate—development,real estate—development,auto manufacturers,real estate—development,asset management,                                        internet content & information                                    ,real estate,real estate,consumer discretionary,real estate,financials,real estate,                                        communication services                                    
specialty chemicals,specialty chemicals,railroads,specialty chemicals,oil & gas equipment & services,specialty business services,basic materials,basic materials,industrials,basic materials,energy,basic materials,industrials
communication equipment,communication equipment,telecom services,communication equipment,asset management,insurance—life,technology,technology,communication services,technology,financials,technology,financials
real estate—development,real estate—development,electronic gaming & multimedia,real estate—development,publishing,banks,real estate,real estate,communication services,real estate,communication services,real estate,financials
telecom services,telecom services,specialty industrial machinery,telecom services,restaurants,banks,communication services,communication services,industrials,communication services,consumer discretionary,communication services,financials
specialty industrial machinery,specialty industrial machinery,real estate services,specialty industrial machinery,asset management,internet content & information,industrials,industrials,real estate,industrials,financials,industrials,communication services
insurance—diversified,insurance—diversified,biotechnology,insurance—diversified,auto & truck dealerships,insurance brokers,financials,financials,healthcare,financials,consumer discretionary,financials,financials
specialty industrial machinery,specialty industrial machinery,gambling,specialty industrial machinery,asset management,banks,industrials,industrials,consumer discretionary,industrials,financials,industrials,financials
auto parts,auto parts,auto parts,auto parts,asset management,specialty industrial machinery,consumer discretionary,consumer discretionary,consumer discretionary,consumer discretionary,financials,consumer discretionary,industrials
oil & gas integrated,oil & gas integrated,medical devices,oil & gas integrated,reitdiversified,specialty industrial machinery,energy,energy,healthcare,energy,real estate,energy,industrials
financial data & stock exchanges,financial data & stock exchanges,medical care facilities,financial data & stock exchanges,asset management,security & protection services,financials,financials,healthcare,financials,financials,financials,industrials
telecom services,telecom services,thermal coal,telecom services,electronic components,reit—office,communication services,communication services,energy,communication services,technology,communication services,real estate
oil & gas e&p,oil & gas e&p,software—application,oil & gas e&p,specialty business services,building products & equipment,energy,energy,technology,energy,industrials,energy,industrials
banks,banks,confectioners,banks,auto & truck dealerships,medical instruments & supplies,financials,financials,consumer staples,financials,consumer discretionary,financials,healthcare
apparel retail,apparel retail,specialty retail,apparel retail,consulting services,information technology services,consumer discretionary,consumer discretionary,consumer discretionary,consumer discretionary,industrials,consumer discretionary,technology
utilities—regulated electric,utilities—regulated electric,insurance—life,utilities—regulated electric,asset management,utilities—regulated water,utilities,utilities,financials,utilities,financials,utilities,utilities
medical distribution,medical distribution,oil & gas integrated,medical distribution,asset management,real estate services,healthcare,healthcare,energy,healthcare,financials,healthcare,real estate
real estate—development,real estate—development,capital markets,real estate—development,asset management,banks,real estate,real estate,financials,real estate,financials,real estate,financials
biotechnology,biotechnology,semiconductors,biotechnology,softwareapplication,aerospace & defense,healthcare,healthcare,technology,healthcare,technology,healthcare,industrials
conglomerates,conglomerates,chemicals,conglomerates,rental & leasing services,industrial distribution,industrials,industrials,basic materials,industrials,industrials,industrials,industrials
telecom services,telecom services,information technology services,telecom services,packaged foods,leisure,communication services,communication services,technology,communication services,consumer staples,communication services,consumer discretionary
"furnishings, fixtures & appliances","furnishings, fixtures & appliances",packaged foods,"furnishings, fixtures & appliances",other industrial metals & mining,thermal coal,consumer discretionary,consumer discretionary,consumer staples,consumer discretionary,basic materials,consumer discretionary,energy
telecom services,telecom services,specialty industrial machinery,telecom services,other precious metals & mining,financial data & stock exchanges,communication services,communication services,industrials,communication services,basic materials,communication services,financials
leisure,leisure,specialty industrial machinery,leisure,reitdiversified,scientific & technical instruments,consumer discretionary,consumer discretionary,industrials,consumer discretionary,real estate,consumer discretionary,technology
banks,banks,industrial distribution,banks,credit services,banks,financials,financials,industrials,financials,financials,financials,financials
beverages—wineries & distilleries,beverages—wineries & distilleries,residential construction,beverages—wineries & distilleries,insurancediversified,banks,consumer staples,consumer staples,consumer discretionary,consumer staples,financials,consumer staples,financials
specialty industrial machinery,specialty industrial machinery,medical instruments & supplies,specialty industrial machinery,asset management,insurance—life,industrials,industrials,healthcare,industrials,financials,industrials,financials
farm & heavy construction machinery,farm & heavy construction machinery,reit—industrial,farm & heavy construction machinery,asset management,specialty retail,industrials,industrials,real estate,industrials,financials,industrials,consumer discretionary
auto manufacturers,auto manufacturers,insurance—diversified,auto manufacturers,asset management,communication equipment,consumer discretionary,consumer discretionary,financials,consumer discretionary,financials,consumer discretionary,technology
real estate—development,real estate—development,banks,real estate—development,"furnishings, fixtures & appliances",semiconductors,real estate,real estate,financials,real estate,consumer discretionary,real estate,technology
banks,banks,semiconductors,banks,drug manufacturersspecialty & generic,restaurants,financials,financials,technology,financials,healthcare,financials,consumer discretionary
specialty chemicals,specialty chemicals,publishing,specialty chemicals,consulting services,reit—industrial,basic materials,basic materials,communication services,basic materials,industrials,basic materials,real estate
telecom services,telecom services,utilities—regulated electric,telecom services,asset management,banks,communication services,communication services,utilities,communication services,financials,communication services,financials
diagnostics & research,diagnostics & research,insurance—reinsurance,diagnostics & research,shell companies,farm & heavy construction machinery,healthcare,healthcare,financials,healthcare,financials,healthcare,industrials
oil & gas midstream,oil & gas midstream,beverages—wineries & distilleries,oil & gas midstream,electrical equipment & parts,building products & equipment,energy,energy,consumer staples,energy,industrials,energy,industrials
reit—diversified,reit—diversified,insurance—life,reit—diversified,leisure,agricultural inputs,real estate,real estate,financials,real estate,consumer discretionary,real estate,basic materials
electronic components,electronic components,diagnostics & research,electronic components,asset management,insurance—property & casualty,technology,technology,healthcare,technology,financials,technology,financials
tobacco,tobacco,banks,tobacco,asset management,auto manufacturers,consumer staples,consumer staples,financials,consumer staples,financials,consumer staples,consumer discretionary
communication equipment,communication equipment,banks,communication equipment,auto & truck dealerships,building products & equipment,technology,technology,financials,technology,consumer discretionary,technology,industrials
utilities—regulated electric,utilities—regulated electric,marine shipping,utilities—regulated electric,asset management,integrated freight & logistics,utilities,utilities,industrials,utilities,financials,utilities,industrials
telecom services,telecom services,utilities—diversified,telecom services,asset management,household & personal products,communication services,communication services,utilities,communication services,financials,communication services,consumer staples
building materials,building materials,resorts & casinos,building materials,reitdiversified,capital markets,basic materials,basic materials,consumer discretionary,basic materials,real estate,basic materials,financials
banks,banks,farm products,banks,internet content & information,semiconductors,financials,financials,consumer staples,financials,communication services,financials,technology
drug manufacturers—general,drug manufacturers—general,telecom services,drug manufacturers—general,softwareapplication,railroads,healthcare,healthcare,communication services,healthcare,technology,healthcare,industrials
telecom services,telecom services,utilities—diversified,telecom services,asset management,oil & gas e&p,communication services,communication services,utilities,communication services,financials,communication services,energy
specialty chemicals,specialty chemicals,information technology services,specialty chemicals,capital markets,banks,basic materials,basic materials,technology,basic materials,financials,basic materials,financials
oil & gas refining & marketing,oil & gas refining & marketing,drug manufacturers—general,oil & gas refining & marketing,asset management,beverages—brewers,energy,energy,healthcare,energy,financials,energy,consumer staples
drug manufacturers—general,drug manufacturers—general,scientific & technical instruments,drug manufacturers—general,electrical equipment & parts,consulting services,healthcare,healthcare,technology,healthcare,industrials,healthcare,industrials
specialty industrial machinery,specialty industrial machinery,packaging & containers,specialty industrial machinery,reitindustrial,medical devices,industrials,industrials,consumer discretionary,industrials,real estate,industrials,healthcare
utilities—diversified,utilities—diversified,utilities—regulated electric,utilities—diversified,pollution & treatment controls,apparel manufacturing,utilities,utilities,utilities,utilities,industrials,utilities,consumer discretionary
insurance—life,insurance—life,reit—specialty,insurance—life,consulting services,banks,financials,financials,real estate,financials,industrials,financials,financials
software—infrastructure,software—infrastructure,financial data & stock exchanges,software—infrastructure,other industrial metals & mining,auto manufacturers,technology,technology,financials,technology,basic materials,technology,consumer discretionary
building materials,building materials,internet content & information,building materials,asset management,conglomerates,basic materials,basic materials,communication services,basic materials,financials,basic materials,industrials
gold,gold,specialty business services,gold,internet content & information,utilities—independent power producers,basic materials,basic materials,industrials,basic materials,communication services,basic materials,utilities
utilities—diversified,utilities—diversified,insurance—life,utilities—diversified,reitdiversified,software—infrastructure,utilities,utilities,financials,utilities,real estate,utilities,technology
asset management,asset management,banks,asset management,security & protection services,specialty chemicals,financials,financials,financials,financials,industrials,financials,basic materials
auto manufacturers,auto manufacturers,banks,auto manufacturers,credit services,reit—residential,consumer discretionary,consumer discretionary,financials,consumer discretionary,financials,consumer discretionary,real estate
communication equipment,communication equipment,internet content & information,communication equipment,softwareapplication,beverages—non-alcoholic,technology,technology,communication services,technology,technology,technology,consumer staples
internet content & information,internet content & information,insurance brokers,internet content & information,drug manufacturersspecialty & generic,utilities—regulated gas,communication services,communication services,financials,communication services,healthcare,communication services,utilities
health information services,health information services,banks,health information services,asset management,farm & heavy construction machinery,healthcare,healthcare,financials,healthcare,financials,healthcare,industrials
grocery stores,grocery stores,specialty industrial machinery,grocery stores,shell companies,banks,consumer staples,consumer staples,industrials,consumer staples,financials,consumer staples,financials
oil & gas midstream,oil & gas midstream,specialty industrial machinery,oil & gas midstream,specialty business services,insurance—property & casualty,energy,energy,industrials,energy,industrials,energy,financials
household & personal products,household & personal products,security & protection services,household & personal products,softwareapplication,packaged foods,consumer staples,consumer staples,industrials,consumer staples,technology,consumer staples,consumer staples
internet retail,internet retail,reit—office,internet retail,lumber & wood production,communication equipment,consumer discretionary,consumer discretionary,real estate,consumer discretionary,basic materials,consumer discretionary,technology
industrial distribution,industrial distribution,building products & equipment,industrial distribution,oil & gas e&p,marine shipping,industrials,industrials,industrials,industrials,energy,industrials,industrials
aerospace & defense,aerospace & defense,medical instruments & supplies,aerospace & defense,industrial distribution,biotechnology,industrials,industrials,healthcare,industrials,industrials,industrials,healthcare
banks,banks,information technology services,banks,capital markets,consumer electronics,financials,financials,technology,financials,financials,financials,technology
real estate services,real estate services,utilities—regulated water,real estate services,asset management,                                        diagnostics & research                                    ,real estate,real estate,utilities,real estate,financials,real estate,                                        healthcare                                    
utilities—regulated water,utilities—regulated water,real estate services,utilities—regulated water,shell companies,chemicals,utilities,utilities,real estate,utilities,financials,utilities,basic materials
information technology services,information technology services,banks,information technology services,reitretail,farm & heavy construction machinery,technology,technology,financials,technology,real estate,technology,industrials
medical instruments & supplies,medical instruments & supplies,aerospace & defense,medical instruments & supplies,reitdiversified,building materials,healthcare,healthcare,industrials,healthcare,real estate,healthcare,basic materials
building products & equipment,building products & equipment,industrial distribution,building products & equipment,capital markets,telecom services,industrials,industrials,industrials,industrials,financials,industrials,communication services
reit—office,reit—office,drug manufacturers—general,reit—office,other industrial metals & mining,business equipment & supplies,real estate,real estate,healthcare,real estate,basic materials,real estate,industrials
security & protection services,security & protection services,oil & gas refining & marketing,security & protection services,leisure,medical care facilities,industrials,industrials,energy,industrials,consumer discretionary,industrials,healthcare
specialty industrial machinery,specialty industrial machinery,specialty chemicals,specialty industrial machinery,personal services,reit—residential,industrials,industrials,basic materials,industrials,consumer discretionary,industrials,real estate
specialty industrial machinery,specialty industrial machinery,telecom services,specialty industrial machinery,communication equipment,software—application,industrials,industrials,communication services,industrials,technology,industrials,technology
banks,banks,drug manufacturers—general,banks,asset management,asset management,financials,financials,healthcare,financials,financials,financials,financials
insurance brokers,insurance brokers,banks,insurance brokers,asset management,auto manufacturers,financials,financials,financials,financials,financials,financials,consumer discretionary
internet content & information,internet content & information,building materials,internet content & information,semiconductor equipment & materials,airports & air services,communication services,communication services,basic materials,communication services,technology,communication services,industrials
banks,banks,telecom services,banks,asset management,marine shipping,financials,financials,communication services,financials,financials,financials,industrials
banks,banks,utilities—regulated electric,banks,shell companies,oil & gas e&p,financials,financials,utilities,financials,financials,financials,energy
insurance—life,insurance—life,communication equipment,insurance—life,beverageswineries & distilleries,entertainment,financials,financials,technology,financials,consumer staples,financials,communication services
specialty business services,specialty business services,tobacco,specialty business services,asset management,banks,industrials,industrials,consumer staples,industrials,financials,industrials,financials
,internet content & information,electronic components,internet content & information,specialty industrial machinery,utilities—regulated electric,,communication services,technology,communication services,industrials,,utilities
financial data & stock exchanges,financial data & stock exchanges,reit—diversified,financial data & stock exchanges,oil & gas e&p,household & personal products,financials,financials,real estate,financials,energy,financials,consumer staples
reit—specialty,reit—specialty,oil & gas midstream,reit—specialty,auto parts,software—infrastructure,real estate,real estate,energy,real estate,consumer discretionary,real estate,technology
utilities—regulated electric,utilities—regulated electric,diagnostics & research,utilities—regulated electric,asset management,oil & gas e&p,utilities,utilities,healthcare,utilities,financials,utilities,energy
packaging & containers,packaging & containers,telecom services,packaging & containers,auto & truck dealerships,biotechnology,consumer discretionary,consumer discretionary,communication services,consumer discretionary,consumer discretionary,consumer discretionary,healthcare
scientific & technical instruments,scientific & technical instruments,specialty chemicals,scientific & technical instruments,electronic components,software—infrastructure,technology,technology,basic materials,technology,technology,technology,technology
drug manufacturers—general,drug manufacturers—general,banks,drug manufacturers—general,asset management,airlines,healthcare,healthcare,financials,healthcare,financials,healthcare,industrials
information technology services,information technology services,real estate—development,information technology services,asset management,utilities—renewable,technology,technology,real estate,technology,financials,technology,utilities
utilities—diversified,utilities—diversified,auto manufacturers,utilities—diversified,asset management,information technology services,utilities,utilities,consumer discretionary,utilities,financials,utilities,technology
telecom services,telecom services,farm & heavy construction machinery,telecom services,asset management,information technology services,communication services,communication services,industrials,communication services,financials,communication services,technology
farm products,farm products,specialty industrial machinery,farm products,other industrial metals & mining,agricultural inputs,consumer staples,consumer staples,industrials,consumer staples,basic materials,consumer staples,basic materials
resorts & casinos,resorts & casinos,beverages—wineries & distilleries,resorts & casinos,asset management,banks,consumer discretionary,consumer discretionary,consumer staples,consumer discretionary,financials,consumer discretionary,financials
utilities—diversified,utilities—diversified,banks,utilities—diversified,restaurants,resorts & casinos,utilities,utilities,financials,utilities,consumer discretionary,utilities,consumer discretionary
marine shipping,marine shipping,leisure,marine shipping,asset management,specialty industrial machinery,industrials,industrials,consumer discretionary,industrials,financials,industrials,industrials
banks,banks,telecom services,banks,asset management,solar,financials,financials,communication services,financials,financials,financials,technology
railroads,railroads,"furnishings, fixtures & appliances",railroads,asset management,real estate—development,industrials,industrials,consumer discretionary,industrials,financials,industrials,real estate
tools & accessories,tools & accessories,telecom services,tools & accessories,asset management,specialty chemicals,industrials,industrials,communication services,industrials,financials,industrials,basic materials
utilities—regulated gas,utilities—regulated gas,conglomerates,utilities—regulated gas,personal services,utilities—diversified,utilities,utilities,industrials,utilities,consumer discretionary,utilities,utilities
utilities—regulated gas,utilities—regulated gas,biotechnology,utilities—regulated gas,industrial distribution,thermal coal,utilities,utilities,healthcare,utilities,industrials,utilities,energy
packaged foods,packaged foods,real estate—development,packaged foods,asset management,utilities—regulated electric,consumer staples,consumer staples,real estate,consumer staples,financials,consumer staples,utilities
health information services,health information services,medical distribution,health information services,biotechnology,medical instruments & supplies,healthcare,healthcare,healthcare,healthcare,healthcare,healthcare,healthcare
rental & leasing services,rental & leasing services,utilities—regulated electric,rental & leasing services,building products & equipment,residential construction,industrials,industrials,utilities,industrials,industrials,industrials,consumer discretionary
consulting services,consulting services,apparel retail,consulting services,consulting services,specialty chemicals,industrials,industrials,consumer discretionary,industrials,industrials,industrials,basic materials
semiconductors,semiconductors,banks,semiconductors,oil & gas e&p,rental & leasing services,technology,technology,financials,technology,energy,technology,industrials
auto manufacturers,auto manufacturers,asset management,auto manufacturers,asset management,banks,consumer discretionary,consumer discretionary,financials,consumer discretionary,financials,consumer discretionary,financials
grocery stores,grocery stores,real estate—development,grocery stores,asset management,banks,consumer staples,consumer staples,real estate,consumer staples,financials,consumer staples,financials
broadcasting,broadcasting,railroads,broadcasting,asset management,software—infrastructure,communication services,communication services,industrials,communication services,financials,communication services,technology
airports & air services,airports & air services,specialty industrial machinery,airports & air services,diagnostics & research,electrical equipment & parts,industrials,industrials,industrials,industrials,healthcare,industrials,industrials
conglomerates,conglomerates,integrated freight & logistics,conglomerates,consulting services,diagnostics & research,industrials,industrials,industrials,industrials,industrials,industrials,healthcare
insurance—property & casualty,insurance—property & casualty,credit services,insurance—property & casualty,biotechnology,insurance—diversified,financials,financials,financials,financials,healthcare,financials,financials
travel services,travel services,farm products,travel services,biotechnology,utilities—diversified,consumer discretionary,consumer discretionary,consumer staples,consumer discretionary,healthcare,consumer discretionary,utilities
banks,banks,oil & gas equipment & services,banks,banks,auto manufacturers,financials,financials,energy,financials,financials,financials,consumer discretionary
diagnostics & research,diagnostics & research,asset management,diagnostics & research,electrical equipment & parts,railroads,healthcare,healthcare,financials,healthcare,industrials,healthcare,industrials
insurance—life,insurance—life,telecom services,insurance—life,auto & truck dealerships,telecom services,financials,financials,communication services,financials,consumer discretionary,financials,communication services
beverages—wineries & distilleries,beverages—wineries & distilleries,reit—residential,beverages—wineries & distilleries,asset management,electronic gaming & multimedia,consumer staples,consumer staples,real estate,consumer staples,financials,consumer staples,communication services
insurance—reinsurance,insurance—reinsurance,biotechnology,insurance—reinsurance,personal services,banks,financials,financials,healthcare,financials,consumer discretionary,financials,financials
utilities—regulated electric,utilities—regulated electric,insurance brokers,utilities—regulated electric,conglomerates,reit—retail,utilities,utilities,financials,utilities,industrials,utilities,real estate
publishing,publishing,internet retail,publishing,asset management,medical instruments & supplies,communication services,communication services,consumer discretionary,communication services,financials,communication services,healthcare
semiconductors,semiconductors,consulting services,semiconductors,waste management,banks,technology,technology,industrials,technology,industrials,technology,financials
banks,banks,airports & air services,banks,apparel retail,chemicals,financials,financials,industrials,financials,consumer discretionary,financials,basic materials
insurance—diversified,insurance—diversified,utilities—renewable,insurance—diversified,asset management,computer hardware,financials,financials,utilities,financials,financials,financials,technology
reit—industrial,reit—industrial,medical devices,reit—industrial,other precious metals & mining,banks,real estate,real estate,healthcare,real estate,basic materials,real estate,financials
medical instruments & supplies,medical instruments & supplies,industrial distribution,medical instruments & supplies,reitdiversified,insurance—property & casualty,healthcare,healthcare,industrials,healthcare,real estate,healthcare,financials
residential construction,residential construction,asset management,residential construction,asset management,utilities—regulated electric,consumer discretionary,consumer discretionary,financials,consumer discretionary,financials,consumer discretionary,utilities
industrial distribution,industrial distribution,steel,industrial distribution,softwareapplication,airlines,industrials,industrials,basic materials,industrials,technology,industrials,industrials
specialty industrial machinery,specialty industrial machinery,beverages—brewers,specialty industrial machinery,consulting services,aerospace & defense,industrials,industrials,consumer staples,industrials,industrials,industrials,industrials
specialty industrial machinery,specialty industrial machinery,banks,specialty industrial machinery,specialty business services,software—application,industrials,industrials,financials,industrials,industrials,industrials,technology
packaged foods,packaged foods,utilities—regulated electric,packaged foods,asset management,railroads,consumer staples,consumer staples,utilities,consumer staples,financials,consumer staples,industrials
information technology services,information technology services,oil & gas midstream,information technology services,other precious metals & mining,utilities—regulated electric,technology,technology,energy,technology,basic materials,technology,utilities
chemicals,chemicals,trucking,chemicals,asset management,oil & gas midstream,basic materials,basic materials,industrials,basic materials,financials,basic materials,energy
semiconductors,semiconductors,real estate—development,semiconductors,biotechnology,specialty industrial machinery,technology,technology,real estate,technology,healthcare,technology,industrials
capital markets,capital markets,restaurants,capital markets,asset management,real estate services,financials,financials,consumer discretionary,financials,financials,financials,real estate
oil & gas integrated,oil & gas integrated,oil & gas integrated,oil & gas integrated,asset management,biotechnology,energy,energy,energy,energy,financials,energy,healthcare
insurance—life,insurance—life,reit—residential,insurance—life,personal services,gambling,financials,financials,real estate,financials,consumer discretionary,financials,consumer discretionary
specialty retail,specialty retail,insurance—diversified,specialty retail,asset management,auto parts,consumer discretionary,consumer discretionary,financials,consumer discretionary,financials,consumer discretionary,consumer discretionary
confectioners,confectioners,scientific & technical instruments,confectioners,diagnostics & research,medical devices,consumer staples,consumer staples,technology,consumer staples,healthcare,consumer staples,healthcare
software—application,software—application,telecom services,software—application,asset management,medical care facilities,technology,technology,communication services,technology,financials,technology,healthcare
thermal coal,thermal coal,packaged foods,thermal coal,biotechnology,thermal coal,energy,energy,consumer staples,energy,healthcare,energy,energy
medical care facilities,medical care facilities,software—application,medical care facilities,asset management,software—application,healthcare,healthcare,technology,healthcare,financials,healthcare,technology
medical devices,medical devices,banks,medical devices,asset management,confectioners,healthcare,healthcare,financials,healthcare,financials,healthcare,consumer staples
auto parts,auto parts,internet content & information,auto parts,electronic components,specialty retail,consumer discretionary,consumer discretionary,communication services,consumer discretionary,technology,consumer discretionary,consumer discretionary
gambling,gambling,insurance—reinsurance,gambling,engineering & construction,insurance—life,consumer discretionary,consumer discretionary,financials,consumer discretionary,industrials,consumer discretionary,financials
biotechnology,biotechnology,railroads,biotechnology,asset management,oil & gas integrated,healthcare,healthcare,industrials,healthcare,financials,healthcare,energy
real estate services,real estate services,drug manufacturers—general,real estate services,engineering & construction,capital markets,real estate,real estate,healthcare,real estate,industrials,real estate,financials
specialty industrial machinery,specialty industrial machinery,insurance—property & casualty,specialty industrial machinery,asset management,semiconductors,industrials,industrials,financials,industrials,financials,industrials,technology
oil & gas midstream,oil & gas midstream,specialty industrial machinery,oil & gas midstream,asset management,chemicals,energy,energy,industrials,energy,financials,energy,basic materials
utilities—regulated electric,utilities—regulated electric,specialty industrial machinery,utilities—regulated electric,electrical equipment & parts,information technology services,utilities,utilities,industrials,utilities,industrials,utilities,technology
railroads,railroads,specialty industrial machinery,railroads,asset management,packaged foods,industrials,industrials,industrials,industrials,financials,industrials,consumer staples
software—application,software—application,electronic gaming & multimedia,software—application,building products & equipment,specialty industrial machinery,technology,technology,communication services,technology,industrials,technology,industrials
aerospace & defense,aerospace & defense,oil & gas refining & marketing,aerospace & defense,oil & gas e&p,specialty industrial machinery,industrials,industrials,energy,industrials,energy,industrials,industrials
airlines,airlines,banks,airlines,electrical equipment & parts,industrial distribution,industrials,industrials,financials,industrials,industrials,industrials,industrials
utilities—regulated electric,utilities—regulated electric,medical instruments & supplies,utilities—regulated electric,packaging & containers,residential construction,utilities,utilities,healthcare,utilities,consumer discretionary,utilities,consumer discretionary
insurance—property & casualty,insurance—property & casualty,restaurants,insurance—property & casualty,advertising agencies,medical instruments & supplies,financials,financials,consumer discretionary,financials,communication services,financials,healthcare
banks,banks,drug manufacturers—general,banks,asset management,reit—industrial,financials,financials,healthcare,financials,financials,financials,real estate
computer hardware,computer hardware,information technology services,computer hardware,medical care facilities,insurance—diversified,technology,technology,technology,technology,healthcare,technology,financials
chemicals,chemicals,reit—specialty,chemicals,rental & leasing services,banks,basic materials,basic materials,real estate,basic materials,industrials,basic materials,financials
banks,banks,discount stores,banks,aerospace & defense,semiconductors,financials,financials,consumer staples,financials,industrials,financials,technology
medical instruments & supplies,medical instruments & supplies,banks,medical instruments & supplies,consulting services,publishing,healthcare,healthcare,financials,healthcare,industrials,healthcare,communication services
reit—retail,reit—retail,farm & heavy construction machinery,reit—retail,reitdiversified,utilities—regulated electric,real estate,real estate,industrials,real estate,real estate,real estate,utilities
banks,banks,broadcasting,banks,integrated freight & logistics,insurance—reinsurance,financials,financials,communication services,financials,industrials,financials,financials
internet content & information,internet content & information,computer hardware,internet content & information,real estatediversified,beverages—wineries & distilleries,communication services,communication services,technology,communication services,real estate,communication services,consumer staples
electronic gaming & multimedia,electronic gaming & multimedia,banks,electronic gaming & multimedia,diagnostics & research,insurance—life,communication services,communication services,financials,communication services,healthcare,communication services,financials
telecom services,telecom services,oil & gas equipment & services,telecom services,staffing & employment services,diagnostics & research,communication services,communication services,energy,communication services,industrials,communication services,healthcare
railroads,railroads,oil & gas integrated,railroads,specialty business services,banks,industrials,industrials,energy,industrials,industrials,industrials,financials
auto manufacturers,auto manufacturers,medical instruments & supplies,auto manufacturers,reitresidential,beverages—brewers,consumer discretionary,consumer discretionary,healthcare,consumer discretionary,real estate,consumer discretionary,consumer staples
utilities—diversified,utilities—diversified,insurance—life,utilities—diversified,asset management,agricultural inputs,utilities,utilities,financials,utilities,financials,utilities,basic materials
insurance—diversified,insurance—diversified,chemicals,insurance—diversified,asset management,biotechnology,financials,financials,basic materials,financials,financials,financials,healthcare
diagnostics & research,diagnostics & research,specialty chemicals,diagnostics & research,footwear & accessories,textile manufacturing,healthcare,healthcare,basic materials,healthcare,consumer discretionary,healthcare,consumer discretionary
software—infrastructure,software—infrastructure,internet retail,software—infrastructure,softwareapplication,utilities—regulated electric,technology,technology,consumer discretionary,technology,technology,technology,utilities
electrical equipment & parts,electrical equipment & parts,grocery stores,electrical equipment & parts,medical devices,specialty industrial machinery,industrials,industrials,consumer staples,industrials,healthcare,industrials,industrials
banks,banks,asset management,banks,advertising agencies,apparel manufacturing,financials,financials,financials,financials,communication services,financials,consumer discretionary
banks,banks,internet content & information,banks,softwareapplication,medical instruments & supplies,financials,financials,communication services,financials,technology,financials,healthcare
rental & leasing services,rental & leasing services,communication equipment,rental & leasing services,specialty business services,biotechnology,industrials,industrials,technology,industrials,industrials,industrials,healthcare
specialty chemicals,specialty chemicals,other industrial metals & mining,specialty chemicals,asset management,reit—residential,basic materials,basic materials,basic materials,basic materials,financials,basic materials,real estate
residential construction,residential construction,banks,residential construction,oil & gas e&p,capital markets,consumer discretionary,consumer discretionary,financials,consumer discretionary,energy,consumer discretionary,financials
medical instruments & supplies,medical instruments & supplies,oil & gas refining & marketing,medical instruments & supplies,consulting services,medical instruments & supplies,healthcare,healthcare,energy,healthcare,industrials,healthcare,healthcare
utilities—regulated electric,utilities—regulated electric,banks,utilities—regulated electric,information technology services,banks,utilities,utilities,financials,utilities,technology,utilities,financials
thermal coal,thermal coal,insurance—property & casualty,thermal coal,biotechnology,farm products,energy,energy,financials,energy,healthcare,energy,consumer staples
