08-slytherin-industry,00-avengers-company_business,04-iGMM-company_business
"['energy', 'oil and gas']","['communication services', 'gaming', 'video games / mobile games / tech games / casino games', 'software and it', 'technology hardware and instruments']","['utilities', 'electric utilities', 'energy']"
"['basic materials', 'chemicals', 'petrochemicals']","['electrical products', 'lighting products']","['basic materials', 'chemicals', 'plastics / plastic products']"
"['industry machinery', 'heavy vehicles', 'commercial vehicles', 'agriculture machinery']","['industries', 'chemicals', 'water utilities']","['industries', 'shipping', 'freight transport']"
"['utilities', 'electric utilities', 'energy']","['technology', 'electronics', 'semiconductors']","['financial services', 'banking services']"
"['technology', 'chemicals', 'electronics', 'capital goods']","['utilities', 'electric utilities', 'energy']","['technology', 'chemicals', 'electronics']"
"['industries', 'industry machinery']","['industries', 'industry machinery', 'commercial vehicles', 'trucks']","['technology', 'semiconductors']"
"['industries', 'industry machinery', 'commercial vehicles', 'trucks']","['energy', 'oil and gas', 'utilities', 'gas utilities']","['industries', 'food products', 'meat / poultry / fish / chicken']"
"['industries', 'industry machinery']","['real estate', 'property investments', 'commercial properties']","['real estate', 'property investments', 'commercial properties']"
"['real estate', 'property investments', 'commercial properties']","['industries', 'food products', 'meat / poultry / fish / chicken', 'industry machinery']","['energy', 'oil and gas', 'utilities']"
"['energy', 'oil and gas', 'utilities', 'gas utilities']","['technology', 'semiconductors']","['industries', 'industry machinery', 'commercial vehicles']"
"['technology', 'semiconductors']","['technology', 'chemicals', 'electronics', 'capital goods']","['industries', 'industry machinery']"
"['industries', 'food products', 'meat / poultry / fish / chicken', 'industry machinery']","['financial services', 'banking services']","['technology', 'electronics', 'capital goods']"
"['technology', 'electronics', 'capital goods']","['industries', 'shipping', 'freight transport']","['industries', 'industry machinery']"
"['industries', 'technology', 'machinery manufacturing', 'manufacturing']","['basic materials', 'chemicals', 'plastics / plastic products']","['industries', 'technology', 'machinery manufacturing']"
"['financial services', 'conglomerate']","['industries', 'industry machinery']","['financial services', 'asset management']"
"['industries', 'metal fabrication products', 'capital goods', 'engineering products']","['basic materials', 'mining']","['industries', 'construction']"
"['basic materials', 'mining']","['industries', 'consumer services', 'professional services', 'consulting services']","['industries', 'metal fabrication products', 'capital goods']"
"['financial services', 'asset management']","['financial services', 'conglomerate']","['financial services', 'conglomerate']"
"['financial services', 'insurance']","['industries', 'metal fabrication products', 'capital goods', 'engineering products']","['industries', 'consumer services', 'professional services']"
"['consumer defensive', 'food products', 'healthcare products', 'fmcg', 'package foods']","['industries', 'construction']","['basic materials', 'mining']"
"['technology', 'electronics', 'capital goods', 'sensors', 'technology hardware and instruments']","['financial services', 'asset management']","['consumer defensive', 'food products', 'healthcare products']"
"['industries', 'construction']","['industries', 'technology', 'machinery manufacturing', 'manufacturing']","['financial services', 'insurance']"
"['industries', 'consumer services', 'professional services', 'consulting services']","['industries', 'industry machinery']","['financial services', 'insurance']"
"['financial services', 'insurance']","['technology', 'electronics', 'capital goods']","['technology', 'electronics', 'capital goods']"
"['healthcare', 'biotechnology', 'technology', 'healthcare products']","['consumer defensive', 'food products', 'healthcare products', 'fmcg', 'package foods']","['basic materials', 'paper and pulp']"
"['basic materials', 'paper and pulp']","['technology', 'electronics', 'consumer electronics']","['healthcare', 'biotechnology', 'technology']"
"['technology', 'software and it', 'electronics', 'tablets', 'mobiles & accessories', 'software products', 'software and it infrastructure']","['technology', 'capital goods', 'electronics']","['technology', 'software and it', 'electronics']"
"['technology', 'electronics', 'consumer electronics']","['technology', 'software and it', 'electronics', 'tablets', 'mobiles & accessories', 'software products', 'software and it infrastructure']","['technology', 'capital goods', 'electronics']"
"['real estate', 'consumer services', 'property investments']","['healthcare', 'biotechnology', 'technology', 'healthcare products']","['technology', 'electronics', 'consumer electronics']"
"['financial services', 'banking services']","['basic materials', 'paper and pulp']","['financial services', 'insurance']"
"['healthcare', 'healthcare service', 'hospitals']","['technology', 'electronics', 'capital goods', 'sensors', 'technology hardware and instruments']","['healthcare', 'healthcare service', 'hospitals']"
"['financial services', 'insurance']","['financial services', 'insurance']","['financial services', 'banking services']"
"['consumer cyclical', 'automobile parts', 'automobile']","['technology', 'engineering products', 'scientific research products']","['real estate', 'consumer services', 'property investments']"
"['technology', 'capital goods', 'electronics']","['financial services', 'insurance']","['consumer cyclical', 'automobile parts', 'automobile']"
"['healthcare', 'pharmacy', 'retail']","['financial services', 'insurance']","['industries', 'business services', 'ecommerce']"
"['technology', 'software and it', 'conglomerate']","['real estate', 'property investments']","['technology', 'software and it', 'conglomerate']"
"['technology', 'electronics', 'technology hardware and instruments', 'communications equipment']","['consumer cyclical', 'automobile', 'bus manufacturing', 'commercial vehicles', 'manufacturing', 'trucks']","['healthcare', 'pharmacy', 'retail']"
"['industries', 'business services', 'ecommerce']","['healthcare', 'pharmacy', 'retail']","['consumer cyclical', 'automobile', 'bus manufacturing']"
['footwear'],"['technology', 'software and it', 'conglomerate']","['real estate', 'property investments']"
"['healthcare', 'pharmaceutical', 'healthcare products']","['industries', 'business services', 'ecommerce']","['healthcare', 'pharmaceutical', 'healthcare products']"
"['utilities', 'power generation', 'electricity generation', 'hydro-electric power', 'solar power', 'nuclear power', 'renewable energy', 'electric utilities']","['consumer cyclical', 'automobile parts', 'automobile']","['real estate', 'consumer services', 'property investments']"
"['real estate', 'consumer services', 'property investments']","['real estate', 'consumer services', 'property investments']","['utilities', 'power generation', 'electricity generation']"
"['real estate', 'property investments']","['financial services', 'banking services']","['technology', 'electronics', 'technology hardware and instruments']"
"['consumer cyclical', 'automobile', 'bus manufacturing', 'commercial vehicles', 'manufacturing', 'trucks']","['healthcare', 'healthcare service', 'hospitals']",['footwear']
"['technology', 'electronics', 'semiconductors', 'technology hardware and instruments']","['healthcare', 'pharmaceutical', 'healthcare products']","['basic materials', 'mining', 'metals']"
"['industries', 'aviation']","['technology', 'software and it']","['consumer cyclical', 'automobile parts']"
"['financial services', 'banking services', 'insurance', 'asset management', 'securities']","['technology', 'electronics', 'semiconductors']","['energy', 'oil and gas', 'natural gas generation']"
"['technology', 'electronics', 'semiconductors']","['energy', 'oil and gas', 'natural gas generation', 'oil and gas equipment and services']","['technology', 'electronics', 'semiconductors']"
"['basic materials', 'mining', 'metals', 'iron and steel', 'copper mining', 'zinc', 'nickel', 'lead']","['consumer cyclical', 'automobile parts']","['technology', 'software and it']"
"['technology', 'software and it']","['basic materials', 'mining', 'metals', 'iron and steel', 'copper mining', 'zinc', 'nickel', 'lead']","['technology', 'electronics', 'semiconductors']"
"['consumer cyclical', 'automobile parts']",footwear,"['industries', 'aviation']"
"['energy', 'oil and gas', 'natural gas generation', 'oil and gas equipment and services']","['technology', 'electronics', 'technology hardware and instruments', 'communications equipment']","['healthcare', 'pharmaceutical', 'biotechnology']"
"['consumer cyclical', 'retail']","['utilities', 'power generation', 'electricity generation', 'hydro-electric power', 'solar power', 'nuclear power', 'renewable energy', 'electric utilities']","['financial services', 'banking services', 'insurance']"
"['healthcare', 'pharmaceutical', 'biotechnology', 'biopharmaceutical', 'healthcare products']","['real estate', 'consumer services', 'property investments']","['consumer cyclical', 'retail']"
"['utilities', 'electric utilities', 'renewable energy']","['technology', 'electronics', 'semiconductors', 'technology hardware and instruments']","['healthcare', 'pharmaceutical']"
"['consumer defensive', 'animal health medicine', 'animal healthcare companies', 'animal feed', 'farming / seeds / milling']","['basic materials', 'paper and pulp']","['consumer defensive', 'animal health medicine', 'animal healthcare companies']"
"['industries', 'automobile', 'capital goods', 'heavy machinery', 'trucks', 'bus manufacturing', 'engines manufacturing']","['basic materials', 'chemicals']","['utilities', 'electric utilities', 'renewable energy']"
"['basic materials', 'paper and pulp']","['utilities', 'electric utilities', 'renewable energy']","['basic materials', 'chemicals']"
"['industries', 'transportation', 'airlines', 'aviation']","['consumer defensive', 'animal health medicine', 'animal healthcare companies', 'animal feed', 'farming / seeds / milling']","['basic materials', 'paper and pulp']"
"['technology', 'business services', 'software and it']","['healthcare', 'pharmaceutical']","['industries', 'automobile', 'capital goods']"
"['basic materials', 'chemicals']","['consumer cyclical', 'retail']","['technology', 'business services', 'software and it']"
"['healthcare', 'pharmaceutical']","['financial services', 'banking services', 'insurance', 'asset management', 'securities']","['financial services', 'banking services']"
"['financial services', 'banking services']","['healthcare', 'pharmaceutical', 'biotechnology', 'biopharmaceutical', 'healthcare products']","['consumer cyclical', 'textile', 'apparels and accessories']"
"['consumer cyclical', 'textile', 'apparels and accessories', 'real estate', 'construction']","['industries', 'aviation']","['industries', 'transportation', 'airlines']"
"['industries', 'industry machinery']","['industries', 'automobile', 'capital goods', 'heavy machinery', 'trucks', 'bus manufacturing', 'engines manufacturing']","['consumer defensive', 'retail', 'food products']"
"['consumer defensive', 'retail', 'food products', 'food chains / distributor']","['industries', 'electronics', 'consumer electronics', 'electrical products', 'printers', 'office equipment']","['industries', 'metal fabrication products', 'capital goods']"
"['industries', 'metal fabrication products', 'capital goods', 'engineering products', 'oil and gas equipment', 'industry machinery']","['technology', 'electronics', 'semiconductors']","['technology', 'electronics', 'capital goods']"
"['technology', 'electronics', 'semiconductors']","['technology', 'electronics', 'capital goods']","['technology', 'electronics', 'semiconductors']"
"['technology', 'electronics', 'capital goods']","['industries', 'metal fabrication products', 'capital goods', 'engineering products', 'oil and gas equipment', 'industry machinery']","['industries', 'electronics', 'consumer electronics']"
"['industries', 'electronics', 'consumer electronics', 'electrical products', 'printers', 'office equipment']","['consumer defensive', 'retail', 'food products', 'food chains / distributor']","['consumer cyclical', 'retail', 'automobile']"
"['consumer cyclical', 'retail', 'automobile', 'automobile parts', 'consumer durables']","['industries', 'transportation', 'airlines', 'aviation']","['industries', 'industry machinery']"
"['financial services', 'stock markets, trading, capital markets', 'brokerage services']","['consumer cyclical', 'textile', 'apparels and accessories', 'real estate', 'construction']","['financial services', 'stock markets, trading, capital markets', 'brokerage services']"
"['real estate', 'property investments', 'construction', 'rent / lease services', 'commercial properties']","['financial services', 'banking services']","['communication services', 'internet or mobile app based business', 'technology']"
"['communication services', 'internet or mobile app based business', 'technology', 'telecom']","['technology', 'business services', 'software and it']","['real estate', 'property investments', 'construction']"
"['financial services', 'asset management', 'banking services']","['consumer cyclical', 'retail', 'automobile', 'automobile parts', 'consumer durables']","['gold mining', 'mining', 'metals']"
"['technology', 'semiconductors']","['consumer cyclical', 'retail']","['technology', 'communications equipment']"
"['gold mining', 'mining', 'metals', 'copper mining', 'silver mining']","['technology', 'semiconductors']","['technology', 'semiconductors']"
"['technology', 'communications equipment']","['technology', 'semiconductors']","['technology', 'semiconductors']"
"['healthcare', 'medical equipment']","['technology', 'communications equipment']","['consumer cyclical', 'retail']"
"['technology', 'software and it', 'digital payment solution services', 'software and it infrastructure']","['gold mining', 'mining', 'metals', 'copper mining', 'silver mining']","['technology', 'software and it', 'digital payment solution services']"
"['industries', 'aerospace and defense', 'aerospace products', 'defense products', 'aircraft parts', 'capital goods', 'space products']","['real estate', 'property investments', 'construction', 'rent / lease services', 'commercial properties']","['financial services', 'asset management', 'banking services']"
"['consumer cyclical', 'retail', 'luxury goods', 'jewellery']","['communication services', 'internet or mobile app based business', 'technology', 'telecom']","['healthcare', 'medical equipment']"
"['technology', 'semiconductors']","['financial services', 'stock markets, trading, capital markets', 'brokerage services']","['consumer cyclical', 'retail', 'luxury goods']"
"['consumer cyclical', 'retail']","['industries', 'industry machinery']","['industries', 'aerospace and defense', 'aerospace products']"
"['financial services', 'banking services']","['technology', 'software and it', 'digital payment solution services', 'software and it infrastructure']","['online food delivery', 'internet or mobile app based business', 'ecommerce']"
"['industries', 'electrical products']","['energy', 'petrochemicals', 'oil and gas']","['financial services', 'banking services']"
"['consumer cyclical', 'travel and transport']","['industries', 'security systems and solutions']","['consumer cyclical', 'travel and transport']"
"['online food delivery', 'internet or mobile app based business', 'ecommerce', 'food service', 'retail']","['consumer cyclical', 'travel and transport']","['industries', 'security systems and solutions']"
"['financial services', 'banking services']","['financial services', 'banking services']","['energy', 'petrochemicals', 'oil and gas']"
"['energy', 'oil and gas', 'natural gas generation']","['online food delivery', 'internet or mobile app based business', 'ecommerce', 'food service', 'retail']","['industries', 'electrical products']"
"['industries', 'security systems and solutions']","['industries', 'aerospace and defense', 'aerospace products', 'defense products', 'aircraft parts', 'capital goods', 'space products']","['consumer defensive', 'food products', 'fmcg']"
"['utilities', 'gas utilities', 'electricity generation', 'power generation']","['consumer cyclical', 'retail', 'luxury goods', 'jewellery']","['energy', 'oil and gas', 'natural gas generation']"
"['energy', 'petrochemicals', 'oil and gas']","['healthcare', 'medical equipment']","['utilities', 'gas utilities', 'electricity generation']"
"['consumer defensive', 'food products', 'fmcg', 'package foods']","['financial services', 'asset management', 'banking services']","['financial services', 'banking services']"
"['industries', 'infrastructure']","['industries', 'electrical products']","['industries', 'cables and wires', 'electrical products']"
"['consumer defensive', 'fmcg', 'package foods', 'food products']","['consumer cyclical', 'sports goods', 'consumer non durables', 'gaming', 'leisure', 'entertainment']","['basic materials', 'iron and steel', 'metals']"
"['financial services', 'insurance', 'conglomerate']","['real estate', 'property investments', 'commercial properties']","['industries', 'infrastructure']"
"['industries', 'cables and wires', 'electrical products']","['industries', 'infrastructure']","['real estate', 'property investments', 'commercial properties']"
"['basic materials', 'iron and steel', 'metals', 'mining', 'metal fabrication products']","['basic materials', 'iron and steel', 'metals', 'mining', 'metal fabrication products']","['consumer cyclical', 'sports goods', 'consumer non durables']"
"['real estate', 'consumer services', 'retail', 'property investments', 'investments', 'commercial properties']","['industries', 'cables and wires', 'electrical products']","['real estate', 'consumer services', 'retail']"
"['technology', 'software and it']","['financial services', 'banking services']","['real estate', 'consumer services', 'commercial properties']"
"['consumer cyclical', 'sports goods', 'consumer non durables', 'gaming', 'leisure', 'entertainment']","['utilities', 'gas utilities', 'electricity generation', 'power generation']","['financial services', 'insurance', 'conglomerate']"
"['real estate', 'consumer services', 'commercial properties', 'property investments']","['energy', 'oil and gas', 'natural gas generation']","['consumer defensive', 'fmcg', 'package foods']"
"['real estate', 'property investments', 'commercial properties']","['consumer defensive', 'food products', 'fmcg', 'package foods']","['technology', 'software and it']"
"['technology', 'semiconductors']","['technology', 'travel and transport', 'aviation', 'software and it', 'software products']","['technology', 'travel and transport', 'aviation']"
"['technology', 'computers hardware']","['technology', 'software and it']","['industries', 'aerospace and defense', 'satellites']"
"['industries', 'aerospace and defense', 'satellites', 'technology']","['consumer defensive', 'fmcg', 'package foods', 'food products']","['energy', 'retail', 'oil and gas']"
"['technology', 'travel and transport', 'aviation', 'software and it', 'software products']","['financial services', 'insurance', 'conglomerate']","['industries', 'plastics / plastic products', 'building products and equipment']"
"['industries', 'plastics / plastic products', 'building products and equipment']","['real estate', 'consumer services', 'commercial properties', 'property investments']","['technology', 'semiconductors']"
"['technology', 'software and it', 'software products']","['real estate', 'consumer services', 'retail', 'property investments', 'investments', 'commercial properties']","['healthcare', 'pharmaceutical']"
"['energy', 'retail', 'oil and gas']","['technology', 'semiconductors']","['communication services', 'software and it', 'internet or mobile app based business']"
"['financial services', 'banking services']","['industries', 'plastics / plastic products', 'building products and equipment']","['financial services', 'banking services']"
"['communication services', 'software and it', 'internet or mobile app based business', 'technology', 'software products']","['energy', 'retail', 'oil and gas']","['technology', 'software and it', 'software products']"
"['healthcare', 'pharmaceutical']","['industries', 'aerospace and defense', 'satellites', 'technology']","['technology', 'computers hardware']"
"['electronics', 'technology', 'chemicals']","['healthcare', 'pharmaceutical']","['consumer cyclical', 'electrical products', 'electronics']"
['real estate'],"['healthcare', 'consumer services', 'healthcare technology and information']",['real estate']
"['consumer cyclical', 'electrical products', 'electronics', 'capital goods', 'automobile parts', 'automobile']","['financial services', 'banking services']","['financial services', 'banking services']"
"['real estate', 'consumer services', 'property investments', 'commercial properties']","['consumer cyclical', 'packaging materials', 'packaging']","['healthcare', 'consumer services', 'healthcare technology and information']"
"['energy', 'oil and gas', 'utilities', 'gas utilities']",real estate,"['consumer cyclical', 'packaging materials', 'packaging']"
"['animal healthcare companies', 'retail']","['consumer cyclical', 'electrical products', 'electronics', 'capital goods', 'automobile parts', 'automobile']","['healthcare', 'investments', 'biotechnology']"
"['healthcare', 'investments', 'biotechnology']","['technology', 'computers hardware']","['animal healthcare companies', 'retail']"
"['consumer cyclical', 'packaging materials', 'packaging']","['technology', 'software and it', 'software products']","['energy', 'oil and gas', 'utilities']"
"['healthcare', 'consumer services', 'healthcare technology and information']","['financial services', 'banking services']","['real estate', 'consumer services', 'property investments']"
"['financial services', 'banking services']","['communication services', 'software and it', 'internet or mobile app based business', 'technology', 'software products']","['electronics', 'technology', 'chemicals']"
"['basic materials', 'mining']","['healthcare', 'investments', 'biotechnology']","['industries', 'machinery manufacturing', 'manufacturing']"
"['healthcare', 'pharmaceutical', 'healthcare products']","['technology', 'software and it', 'software products']","['basic materials', 'mining']"
"['industries', 'machinery manufacturing', 'manufacturing', 'industry machinery', 'electrical products']","['healthcare', 'pharmaceutical', 'healthcare products']","['basic materials', 'chemicals']"
"['industries', 'environmental services', 'waste and trash management']","['basic materials', 'chemicals']","['healthcare', 'pharmaceutical', 'healthcare products']"
"['consumer cyclical', 'restaurants', 'consumer services']","['basic materials', 'mining']","['technology', 'software and it', 'software products']"
"['technology', 'software and it', 'software products', 'software and it infrastructure', 'security systems and solutions']","['industries', 'machinery manufacturing', 'manufacturing', 'industry machinery', 'electrical products']","['technology', 'electronics', 'capital goods']"
"['energy', 'oil and gas']","['electronics', 'technology', 'chemicals']","['consumer cyclical', 'restaurants', 'consumer services']"
"['technology', 'electronics', 'capital goods']","['real estate', 'consumer services', 'property investments', 'commercial properties']","['energy', 'oil and gas']"
"['technology', 'software and it', 'software products']","['energy', 'oil and gas', 'utilities', 'gas utilities']","['technology', 'software and it', 'software products']"
"['basic materials', 'chemicals']","['animal healthcare companies', 'retail']","['industries', 'environmental services', 'waste and trash management']"
"['basic materials', 'mining']","['technology', 'electronics', 'capital goods']",['financial services']
"['financial services', 'banking services']","['healthcare', 'hospitals', 'healthcare products', 'healthcare service']","['media', 'technology', 'professional services']"
"['industries', 'electrical products', 'batteries']","['industries', 'iron and steel', 'coal mining', 'energy', 'chemicals', 'conglomerate']","['basic materials', 'mining']"
"['communication services', 'telecom']","['basic materials', 'mining']","['industries', 'iron and steel', 'coal mining']"
"['industries', 'iron and steel', 'coal mining', 'energy', 'chemicals', 'conglomerate']","['media', 'technology', 'professional services', 'sports related']","['healthcare', 'hospitals', 'healthcare products']"
"['media', 'technology', 'professional services', 'sports related']",financial services,"['industries', 'electrical products', 'batteries']"
['financial services'],"['industries', 'environmental services', 'waste and trash management']","['healthcare', 'healthcare products', 'hospitals']"
"['healthcare', 'healthcare products', 'hospitals']","['technology', 'software and it', 'software products', 'software and it infrastructure', 'security systems and solutions']","['basic materials', 'chemicals', 'petrochemicals']"
"['healthcare', 'hospitals', 'healthcare products', 'healthcare service']","['energy', 'oil and gas']","['communication services', 'telecom']"
"['basic materials', 'chemicals', 'petrochemicals']","['consumer cyclical', 'restaurants', 'consumer services']","['financial services', 'banking services']"
"['technology', 'software and it', 'software products']","['industries', 'electrical products', 'batteries']","['healthcare', 'medical equipment', 'healthcare products']"
"['consumer cyclical', 'electric vehicles', 'bikes', 'scooters', 'bicycle', 'automobile']","['technology', 'software and it', 'software products']","['energy', 'oil and gas']"
"['energy', 'oil and gas']","['consumer defensive', 'healthcare products', 'fmcg', 'package foods', 'food products']","['industries', 'industry machinery']"
"['financial services', 'banking services']","['industries', 'industry machinery']","['consumer defensive', 'healthcare products', 'fmcg']"
"['financial services', 'insurance']","['energy', 'oil and gas']","['technology', 'software and it', 'software products']"
"['industries', 'industry machinery']","['healthcare', 'medical equipment', 'healthcare products']","['financial services', 'stock markets, trading, capital markets']"
"['healthcare', 'medical equipment', 'healthcare products']","['financial services', 'banking services']","['financial services', 'banking services']"
"['consumer defensive', 'healthcare products', 'fmcg', 'package foods', 'food products']","['communication services', 'telecom']","['financial services', 'insurance']"
"['basic materials', 'chemicals']","['basic materials', 'chemicals', 'petrochemicals']","['consumer cyclical', 'electric vehicles', 'bikes']"
"['financial services', 'stock markets, trading, capital markets']","['healthcare', 'healthcare products', 'hospitals']","['basic materials', 'chemicals']"
"['construction materials', 'cement', 'sugar']","['financial services', 'stock markets, trading, capital markets']","['real estate', 'facility support services']"
"['energy', 'oil and gas']","['energy', 'oil and gas']","['construction materials', 'cement', 'sugar']"
"['financial services', 'banking services']","['utilities', 'water utilities']","['technology', 'software and it', 'software products']"
"['financial services', 'asset management', 'gold mining']","['technology', 'software and it', 'software products', 'artificial intelligence']","['utilities', 'water utilities']"
"['basic materials', 'cement', 'construction materials']","['construction materials', 'cement', 'sugar']","['energy', 'oil and gas']"
"['healthcare', 'pharmacy', 'retail']","['real estate', 'facility support services']","['industries', 'construction materials', 'ecommerce']"
"['real estate', 'facility support services']","['basic materials', 'chemicals']","['financial services', 'banking services']"
"['industries', 'construction materials', 'ecommerce', 'retail', 'building products and equipment']","['consumer cyclical', 'electric vehicles', 'bikes', 'scooters', 'bicycle', 'automobile']","['healthcare', 'pharmacy', 'retail']"
"['utilities', 'water utilities']","['financial services', 'insurance']","['basic materials', 'cement', 'construction materials']"
"['technology', 'software and it', 'software products', 'artificial intelligence']","['financial services', 'banking services']","['financial services', 'asset management', 'gold mining']"
"['utilities', 'electric utilities', 'renewable energy']","['industries', 'construction materials', 'ecommerce', 'retail', 'building products and equipment']","['industries', 'transportation', 'freight transport']"
"['construction materials', 'basic materials']","['construction materials', 'basic materials']","['consumer cyclical', 'retail']"
"['technology', 'electronics', 'capital goods']","['technology', 'electronics', 'capital goods']","['consumer cyclical', 'automobile']"
"['healthcare', 'medical equipment', 'health care diagnostics']","['consumer cyclical', 'automobile']","['technology', 'electronics', 'capital goods']"
"['industries', 'aviation', 'transportation', 'freight transport', 'airlines']","['consumer cyclical', 'retail']","['construction materials', 'basic materials']"
"['consumer cyclical', 'automobile']","['industries', 'transportation', 'freight transport', 'railway']","['industries', 'aviation', 'transportation']"
"['industries', 'transportation', 'freight transport', 'railway']","['financial services', 'asset management', 'gold mining']","['healthcare', 'medical equipment', 'health care diagnostics']"
"['consumer cyclical', 'retail']","['basic materials', 'cement', 'construction materials']","['utilities', 'electric utilities', 'renewable energy']"
"['technology', 'software and it', 'security systems and solutions']","['healthcare', 'pharmacy', 'retail']","['real estate', 'consumer services', 'retail']"
"['real estate', 'consumer services', 'retail', 'property investments', 'commercial properties']","['financial services', 'banking services']","['technology', 'software and it', 'security systems and solutions']"
"['financial services', 'asset management', 'investments']","['industries', 'aviation', 'transportation', 'freight transport', 'airlines']",[]
"['healthcare', 'pharmaceutical', 'healthcare products']","['healthcare', 'pharmaceutical', 'healthcare products']","['communication services', 'telecom', 'internet providers']"
not found,"['financial services', 'asset management', 'investments']","['industries', 'business services']"
"['communication services', 'telecom', 'internet providers']","['industries', 'business services']","['financial services', 'asset management', 'investments']"
"['industries', 'business services']","['communication services', 'telecom', 'internet providers']","['healthcare', 'pharmaceutical', 'healthcare products']"
"['consumer defensive', 'personal care products', 'fmcg', 'paper and pulp']",,"['financial services', 'insurance']"
"['healthcare', 'biotechnology']","['technology', 'software and it', 'security systems and solutions']","['basic materials', 'chemicals']"
"['communication services', 'gaming']","['real estate', 'consumer services', 'retail', 'property investments', 'commercial properties']","['communication services', 'gaming']"
"['basic materials', 'chemicals']","['utilities', 'electric utilities', 'renewable energy']","['healthcare', 'biotechnology']"
"['financial services', 'insurance']","['healthcare', 'medical equipment', 'health care diagnostics']","['consumer defensive', 'personal care products', 'fmcg']"
"['financial services', 'insurance']","['basic materials', 'chemicals', 'fertilizers', 'construction materials', 'cables and wires', 'petrochemicals']","['utilities', 'renewable energy']"
"['basic materials', 'chemicals', 'consumer durables']",real estate,"['basic materials', 'chemicals', 'consumer durables']"
"['basic materials', 'chemicals', 'fertilizers', 'construction materials', 'cables and wires', 'petrochemicals']","['industries', 'construction', 'engineering services']","['industries', 'construction', 'engineering services']"
['real estate'],"['basic materials', 'chemicals', 'consumer durables']",['real estate']
"['industries', 'technology', 'machinery manufacturing', 'manufacturing', 'industry machinery']","['utilities', 'renewable energy']","['basic materials', 'chemicals', 'fertilizers']"
"['utilities', 'renewable energy']","['consumer defensive', 'personal care products', 'fmcg', 'paper and pulp']","['financial services', 'insurance']"
"['consumer defensive', 'food products', 'fmcg', 'package foods']","['healthcare', 'biotechnology']","['industries', 'technology', 'machinery manufacturing']"
"['industries', 'construction', 'engineering services']","['communication services', 'gaming']","['consumer cyclical', 'automobile parts', 'automobile']"
"['consumer cyclical', 'automobile parts', 'automobile']","['basic materials', 'chemicals']","['energy', 'oil and gas', 'oil and gas pipeline transport']"
"['energy', 'oil and gas', 'oil and gas pipeline transport']","['financial services', 'insurance']","['consumer defensive', 'food products', 'fmcg']"
"['industries', 'electronics', 'electrical products']","['financial services', 'insurance']","['industries', 'electronics', 'electrical products']"
"['communication services', 'entertainment', 'movies / entertainment', 'music']","['industries', 'technology', 'machinery manufacturing', 'manufacturing', 'industry machinery']","['communication services', 'telecom']"
"['industries', 'technology', 'machinery manufacturing', 'manufacturing', 'industry machinery']","['communication services', 'entertainment', 'movies / entertainment', 'music']","['energy', 'oil and gas']"
"['energy', 'oil and gas']","['energy', 'oil and gas']","['communication services', 'entertainment', 'movies / entertainment']"
"['medical equipment', 'healthcare']","['communication services', 'telecom']","['industries', 'technology', 'machinery manufacturing']"
"['industries', 'railway']","['industries', 'electronics', 'electrical products']","['financial services', 'securities', 'conglomerate']"
"['communication services', 'gaming', 'video games / mobile games / tech games / casino games']","['consumer defensive', 'food products', 'fmcg', 'package foods']","['financial services', 'banking services']"
"['communication services', 'telecom']","['energy', 'oil and gas', 'oil and gas pipeline transport']","['medical equipment', 'healthcare']"
"['financial services', 'securities', 'conglomerate']","['consumer cyclical', 'automobile parts', 'automobile']","['communication services', 'gaming', 'video games / mobile games / tech games / casino games']"
"['financial services', 'banking services']","['industries', 'technology', 'machinery manufacturing', 'manufacturing', 'industry machinery']","['industries', 'railway']"
"['energy', 'oil and gas']","['financial services', 'securities', 'conglomerate']","['basic materials', 'paper and pulp', 'forest products']"
"['consumer defensive', 'fmcg', 'agriculture products', 'food chains / distributor']","['energy', 'oil and gas']","['utilities', 'electric utilities']"
"['utilities', 'electric utilities']","['consumer defensive', 'fmcg', 'agriculture products', 'food chains / distributor']","['consumer defensive', 'fmcg', 'agriculture products']"
"['basic materials', 'paper and pulp', 'forest products']","['real estate', 'property investments']","['real estate', 'property investments']"
"['energy', 'oil and gas']","['basic materials', 'paper and pulp', 'forest products']","['energy', 'oil and gas']"
['logistics'],"['utilities', 'electric utilities']","['basic materials', 'chemicals']"
"['healthcare', 'health care diagnostics']","['industries', 'railway']","['healthcare', 'health care diagnostics']"
"['healthcare', 'biotechnology']","['communication services', 'gaming', 'video games / mobile games / tech games / casino games']","['healthcare', 'biotechnology']"
"['basic materials', 'chemicals']","['medical equipment', 'healthcare']",['logistics']
"['real estate', 'property investments']","['financial services', 'banking services']","['energy', 'oil and gas']"
"['technology', 'software and it']","['basic materials', 'chemicals']","['healthcare', 'pharmaceutical', 'cannabis']"
"['basic materials', 'mining', 'metals', 'precious metals', 'silver mining']","['healthcare', 'medical equipment']","['technology', 'software and it']"
"['healthcare', 'pharmaceutical', 'cannabis']","['healthcare', 'pharmaceutical', 'cannabis']","['consumer defensive', 'food products', 'meat / poultry / fish / chicken']"
"['consumer defensive', 'food products', 'meat / poultry / fish / chicken', 'fmcg', 'package foods']","['consumer defensive', 'food products', 'meat / poultry / fish / chicken', 'fmcg', 'package foods']","['healthcare', 'pharmaceutical', 'cannabis']"
"['financial services', 'investments', 'stock markets, trading, capital markets']","['technology', 'software and it']","['healthcare', 'medical equipment']"
